,name,icetime,x_goals,goals,unblocked_shot_attempts,x_rebounds,rebounds,x_freeze,freeze,x_on_goal,on_goal,x_play_stopped,play_stopped,x_play_continued_in_zone,play_continued_in_zone,x_play_continued_outside_zone,play_continued_outside_zone,flurry_adjusted_x_goals,low_danger_shots,medium_danger_shots,high_danger_shots,low_danger_x_goals,medium_danger_x_goals,high_danger_x_goals,low_danger_goals,medium_danger_goals,high_danger_goals,blocked_shot_attempts,penalty_minutes,penalties
91,Eddie Lack,3323.5,2.4307638888888885,2.423611111111111,50.21527777777778,1.8818055555555553,1.7847222222222223,6.206250000000001,6.729166666666667,27.14763888888889,26.61111111111111,0.8878472222222222,0.9236111111111112,15.141944444444444,11.694444444444445,11.111875,13.854166666666666,2.343611111111111,27.82638888888889,7.625,2.2152777777777777,0.8295833333333333,0.9211805555555556,0.6798611111111111,0.7569444444444444,0.9722222222222222,0.6944444444444444,12.54861111111111,0.013888888888888888,0.006944444444444444
94,Elvis Merzlikins,3300.557894736842,2.7621578947368417,2.9368421052631577,56.294736842105266,2.079263157894737,2.542105263157895,7.010000000000001,6.463157894736842,30.325789473684207,30.63684210526316,0.9123157894736842,0.7578947368421053,16.913315789473685,13.663157894736843,12.291526315789474,15.652631578947368,2.6486842105263158,31.4,8.063157894736841,2.6052631578947367,0.9308421052631579,0.9865789473684211,0.8448421052631578,1.1157894736842104,1.0894736842105264,0.7315789473684211,14.226315789473684,0.08421052631578947,0.042105263157894736
98,Evgeni Nabokov,3482.3370786516853,2.4491011235955056,2.4569288389513106,52.68913857677903,1.923183520599251,2.0636704119850187,6.2785018726591755,6.49063670411985,27.77674157303371,27.98501872659176,0.9560674157303372,0.9775280898876404,15.521610486891383,11.782771535580524,11.747865168539327,15.599250936329588,2.36310861423221,29.756554307116104,7.2209737827715355,2.1647940074906367,0.8667790262172285,0.8723970037453184,0.7100374531835206,0.8277153558052435,0.8277153558052435,0.8014981273408239,13.546816479400748,0.1348314606741573,0.06741573033707865
100,Filip Gustavsson,3436.0,2.7299999999999995,2.6036036036036037,57.432432432432435,2.097027027027027,2.3873873873873874,7.012252252252252,6.243243243243243,30.265945945945944,29.585585585585587,0.9353153153153152,0.43243243243243246,16.813423423423423,14.00900900900901,12.120540540540542,15.855855855855856,2.6190990990990994,31.495495495495497,7.675675675675675,2.5945945945945947,0.9236936936936937,0.9299999999999999,0.8763963963963964,0.8648648648648649,0.972972972972973,0.7657657657657657,15.666666666666666,0.0,0.0
101,Frederik Andersen,3456.830303030303,2.616767676767677,2.4686868686868686,53.89090909090909,1.9974545454545454,2.062626262626263,6.782262626262626,6.155555555555556,29.434686868686867,29.21818181818182,1.0257777777777777,1.0343434343434343,16.411919191919193,13.640404040404041,12.289717171717172,15.84040404040404,2.5093131313131316,31.068686868686868,7.715151515151515,2.4060606060606062,0.8919393939393939,0.9337171717171717,0.791111111111111,0.8323232323232324,0.8828282828282829,0.7535353535353535,12.701010101010102,0.03232323232323232,0.01616161616161616
108,Henrik Lundqvist,3490.6454413892907,2.5299710564399422,2.4081041968162085,55.24602026049204,1.9660057887120115,2.0144717800289436,6.654211287988423,6.209840810419681,29.17795947901592,29.483357452966715,0.9217510853835021,0.9334298118668596,16.456497829232998,13.739507959479015,12.384949348769899,15.544138929088279,2.4259189580318377,31.32272069464544,7.340086830680174,2.3111432706222867,0.8713169319826339,0.8906512301013024,0.7680173661360348,0.8668596237337193,0.7973950795947902,0.743849493487699,14.272069464544138,0.023154848046309694,0.011577424023154847
112,Igor Shesterkin,3500.56338028169,2.7385446009389667,2.3615023474178405,56.23004694835681,2.0633333333333335,2.727699530516432,7.054741784037558,5.220657276995305,29.972018779342722,29.859154929577464,0.9663849765258216,0.6713615023474179,16.491924882629107,14.35680751173709,12.087699530516431,16.183098591549296,2.6046478873239436,30.784037558685448,7.924882629107981,2.7417840375586855,0.8674647887323944,0.9784037558685447,0.8925821596244131,0.863849765258216,0.8028169014084507,0.6948356807511737,14.779342723004694,0.046948356807511735,0.023474178403755867
114,Ilya Bryzgalov,3464.9088235294116,2.504970588235294,2.5352941176470587,54.15,1.9851470588235296,1.8852941176470588,6.545999999999999,6.16764705882353,28.948647058823532,28.544117647058822,0.8967058823529411,0.7529411764705882,16.3325,13.441176470588236,12.335382352941176,15.870588235294118,2.412617647058824,31.31764705882353,7.411764705882353,2.0941176470588236,0.8984411764705882,0.8898235294117648,0.7167647058823529,0.8088235294117647,0.9264705882352942,0.8,13.326470588235294,0.03529411764705882,0.01764705882352941
115,Ilya Samsonov,3383.058479532164,2.5436842105263158,2.6023391812865495,52.146198830409354,1.9363157894736842,2.590643274853801,6.559590643274854,5.643274853801169,27.82456140350877,26.92982456140351,0.9531578947368422,0.8128654970760234,15.281169590643275,13.105263157894736,11.151929824561403,13.771929824561404,2.440233918128655,28.461988304093566,7.169590643274854,2.7777777777777777,0.8095906432748537,0.8722222222222221,0.861812865497076,0.9941520467836257,0.8421052631578947,0.7660818713450293,13.736842105263158,0.011695906432748537,0.005847953216374269
116,Ilya Sorokin,3517.8489583333335,2.767447916666667,2.4791666666666665,59.484375,2.1403125,2.9947916666666665,7.400156249999999,5.619791666666667,31.046041666666667,30.557291666666668,0.9840104166666667,0.78125,17.110781250000002,14.614583333333334,12.446197916666668,16.296875,2.6323958333333333,32.671875,7.260416666666667,2.984375,0.9210937499999999,0.8993229166666667,0.9470312499999999,1.0052083333333333,0.84375,0.6302083333333334,16.567708333333332,0.0,0.0
121,Jack Campbell,3360.221590909091,2.5123295454545453,2.590909090909091,50.97727272727273,1.9251704545454549,2.0681818181818183,6.430113636363637,7.653409090909091,27.904943181818183,28.426136363636363,0.9786363636363636,0.9431818181818182,15.578011363636364,12.119318181818182,11.450681818181819,13.630681818181818,2.4197727272727274,28.829545454545453,7.715909090909091,2.278409090909091,0.8662500000000001,0.9209659090909091,0.725284090909091,0.8011363636363636,1.0340909090909092,0.7556818181818182,12.153409090909092,0.011363636363636364,0.005681818181818182
