name,I_F_goals_all,playerId_all
David Perron,297.0,8474102
David Rundblad,4.0,8475182
David Savard,53.0,8475233
David Schlemko,17.0,8473673
David Sloane,0.0,8475068
David Steckel,28.0,8469483
David Ullstrom,6.0,8474666
David Van Der Gulik,2.0,8470189
David Warsofsky,2.0,8474660
David Wolf,0.0,8477913
Davis Drewiske,5.0,8474518
Dawson Mercer,64.0,8482110
Daymond Langkow,45.0,8462036
Dean Arsene,0.0,8467583
Dean Kukan,5.0,8478567
Dean McAmmond,13.0,8458536
Declan Carlile,0.0,8483398
Declan Chisholm,3.0,8480990
Denis Gauthier,2.0,8462050
Denis Grebeshkov,14.0,8470268
Denis Gurianov,52.0,8478495
Denis Malgin,41.0,8478843
Dennis Cholowski,10.0,8479395
Dennis Everberg,3.0,8477902
Dennis Gilbert,3.0,8478502
Dennis Rasmussen,9.0,8477929
Dennis Seidenberg,35.0,8469619
Dennis Wideman,72.0,8469770
Derek Armstrong,5.0,8459064
Derek Boogaard,1.0,8469647
Derek Dorsett,51.0,8473432
Derek Forbort,17.0,8475762
Derek Grant,57.0,8474683
Derek Joslin,4.0,8471810
Derek MacKenzie,49.0,8468001
Derek Meech,4.0,8470061
Derek Morris,21.0,8464966
Derek Peltier,0.0,8471396
Derek Roy,109.0,8469485
Derek Ryan,81.0,8478585
Derek Smith,2.0,8473953
Derek Stepan,182.0,8474613
Derek Whitmore,0.0,8474500
Derick Brassard,214.0,8473544
Derrick Pouliot,8.0,8476884
Deryk Engelland,30.0,8468674
Devante Smith-Pelly,44.0,8475758
Devin Setoguchi,120.0,8471682
Devin Shore,51.0,8476913
Devon Toews,52.0,8478038
Dillon Dube,57.0,8479346
Dillon Heatherington,0.0,8477471
Dillon Simpson,0.0,8476416
Dion Phaneuf,83.0,8470602
Dmitri Kalinin,2.0,8467354
Dmitri Samorukov,0.0,8480041
Dmitri Voronkov,18.0,8481716
Dmitrij Jaskin,27.0,8476436
Dmitry Korobov,0.0,8477082
Dmitry Kulikov,46.0,8475179
Dmitry Orlov,70.0,8475200
Dmytro Timashov,4.0,8478857
Dominic Moore,84.0,8468575
Dominic Toninato,13.0,8476952
Dominic Turgeon,0.0,8477994
Dominik Kahun,34.0,8480946
Dominik Kubalik,93.0,8477330
Dominik Simon,22.0,8478866
Dominik Uher,0.0,8476339
Donald Brashear,1.0,8459246
Doug Janik,0.0,8467928
Doug Weight,13.0,8458361
Dougie Hamilton,142.0,8476462
Douglas Murray,6.0,8468114
Drake Batherson,90.0,8480208
Drake Caggiula,46.0,8479465
Drake Rymsha,0.0,8480221
Drayson Bowman,15.0,8474137
Drew Bagnall,0.0,8470787
Drew Doughty,156.0,8474563
Drew Helleson,1.0,8481563
Drew Larman,0.0,8470970
Drew LeBlanc,0.0,8477243
Drew Miller,60.0,8470778
Drew O'Connor,24.0,8482055
Drew Shore,9.0,8475213
Drew Stafford,167.0,8471226
Dryden Hunt,18.0,8478211
Duncan Keith,83.0,8470281
Duncan Siemens,1.0,8476464
