PLAYERS,TEAM,POS,HAND,AGE,G,A,PTS,SV%,CAP HIT,TOTAL,TERM,TYPE
"DeMelo, Dylan",WPG,RD,Right,31,3,13,16,0.0,"$4,900,000","$5,500,000",4 yrs,Std (Ext)
"Matheson, Mike",MTL,LD,Left,31,6,23,29,0.0,"$4,875,000","$6,500,000",8 yrs,Std (Ext)
"Kotkaniemi, Jesperi",CAR,"C, LW",Left,24,11,19,30,0.0,"$4,820,000","$4,820,000",8 yrs,Std (Ext)
"Tuch, Alex",BUF,"RW, C",Right,28,25,24,49,0.0,"$4,750,000","$4,750,000",7 yrs,Std (Ext)
"Chiarot, Ben",DET,"LD, RD",Left,33,3,7,10,0.0,"$4,750,000","$5,250,000",4 yrs,Std
"Mikheyev, Ilya",CHI,"RW, LW",Left,30,15,11,26,0.0,"$4,750,000","$5,150,000",4 yrs,Std
"Eberle, Jordan",SEA,RW,Right,34,7,12,19,0.0,"$4,750,000","$4,750,000",2 yrs,Std (Ext)
"Zacha, Pavel",BOS,C,Left,27,13,27,40,0.0,"$4,750,000","$4,750,000",4 yrs,Std (Ext)
"Luukkonen, Ukko-Pekka",BUF,G,Left,26,0,1,0,0.889,"$4,750,000","$4,750,000",5 yrs,Std
"Husso, Ville",ANA,G,Left,30,0,0,0,0.866,"$4,750,000","$4,750,000",3 yrs,Std (Ext)
"Tarasenko, Vladimir",DET,"RW, LW",Left,33,9,17,26,0.0,"$4,750,000","$4,750,000",2 yrs,Std
"Vlasic, Alex",CHI,"LD, RD",Left,23,3,22,25,0.0,"$4,600,000","$6,000,000",6 yrs,Std (Ext)
"Zub, Artem",OTT,RD,Right,29,2,8,10,0.0,"$4,600,000","$4,800,000",4 yrs,Std (Ext)
"Chychrun, Jakob",WSH,"LD, RD",Left,26,18,24,42,0.0,"$4,600,000","$7,000,000",6 yrs,Std (Ext)
"Oleksiak, Jamie",SEA,"LD, RD",Left,32,4,9,13,0.0,"$4,600,000","$5,500,000",5 yrs,Std (Ext)
"Sandin, Rasmus",WSH,LD,Left,25,4,21,25,0.0,"$4,600,000","$5,000,000",5 yrs,Std (Ext)
"Broberg, Philip",STL,"RD, LD",Left,23,6,15,21,0.0,"$4,580,917","$4,580,917",2 yrs,Std
"Andersson, Rasmus",CGY,RD,Right,28,8,15,23,0.0,"$4,550,000","$4,550,000",6 yrs,Std (Ext)
"Lehkonen, Artturi",COL,"LW, RW",Left,29,27,14,41,0.0,"$4,500,000","$4,500,000",5 yrs,Std
"Tanev, Chris",TOR,RD,Right,35,2,15,17,0.0,"$4,500,000","$6,000,000",6 yrs,Std
"Manson, Josh",COL,RD,Right,33,1,14,15,0.0,"$4,500,000","$4,000,000",4 yrs,Std
"Marchment, Mason",DAL,LW,Left,29,16,17,33,0.0,"$4,500,000","$3,600,000",4 yrs,Std
"Bunting, Michael",NSH,LW,Left,29,14,15,29,0.0,"$4,500,000","$4,500,000",3 yrs,Std
"Backlund, Mikael",CGY,C,Left,35,11,13,24,0.0,"$4,500,000","$4,500,000",2 yrs,Std (Ext)
"Foligno, Nick",CHI,"LW, C",Left,37,12,15,27,0.0,"$4,500,000","$5,100,000",2 yrs,Std (Ext)
"Graves, Ryan",PIT,"LD, RD",Left,29,1,1,2,0.0,"$4,500,000","$5,500,000",6 yrs,Std
"Lindgren, Ryan",COL,"LD, RD",Left,27,2,17,19,0.0,"$4,500,000","$4,500,000",1 yrs,Std
"O'Reilly, Ryan",NSH,C,Left,34,16,26,42,0.0,"$4,500,000","$5,000,000",4 yrs,Std
"Knight, Spencer",CHI,G,Left,23,0,2,0,0.907,"$4,500,000","$4,500,000",3 yrs,Std (Ext)
"Dvorak, Christian",MTL,C,Left,29,6,14,20,0.0,"$4,450,000","$5,750,000",6 yrs,Std (Ext)
"Chytil, Filip",VAN,C,Left,25,11,9,20,0.0,"$4,437,500","$4,625,000",4 yrs,Std (Ext)
"Bennett, Sam",FLA,C,Left,28,22,22,44,0.0,"$4,425,000","$5,000,000",4 yrs,Std (Ext)
"Murphy, Connor",CHI,"RD, LD",Right,31,1,16,17,0.0,"$4,400,000","$5,150,000",4 yrs,Std (Ext)
"Marino, John",UTA,"RD, LD",Right,27,1,8,9,0.0,"$4,400,000","$6,150,000",6 yrs,Std (Ext)
"Crouse, Lawson",UTA,"LW, RW",Left,27,10,4,14,0.0,"$4,300,000","$4,600,000",5 yrs,Std
"Samuelsson, Mattias",BUF,"RD, LD",Left,25,3,6,9,0.0,"$4,285,714","$4,285,714",7 yrs,Std (Ext)
"Athanasiou, Andreas",CHI,"C, RW",Left,30,1,0,1,0.0,"$4,250,000","$4,250,000",2 yrs,Std (Ext)
"Dickinson, Jason",CHI,"C, RW",Left,29,7,9,16,0.0,"$4,250,000","$4,850,000",2 yrs,Std (Ext)
"Mrazek, Petr",DET,G,Left,33,0,0,0,0.89,"$4,250,000","$4,850,000",2 yrs,Std (Ext)
"Moore, Trevor",LAK,LW,Left,29,13,17,30,0.0,"$4,200,000","$4,500,000",5 yrs,Std (Ext)
"Verhaeghe, Carter",FLA,"RW, LW, C",Left,29,17,28,45,0.0,"$4,166,667","$4,500,000",3 yrs,Std (Ext)
"Zuccarello, Mats",MIN,"RW, LW",Left,37,15,26,41,0.0,"$4,125,000","$4,700,000",2 yrs,Std (Ext)
"Anderson, Mikey",LAK,LD,Left,25,6,12,18,0.0,"$4,125,000","$4,200,000",8 yrs,Std (Ext)
"Carlo, Brandon",TOR,RD,Right,28,1,8,9,0.0,"$4,100,000","$5,450,000",6 yrs,Std (Ext)
"Jensen, Nick",OTT,"RD, LD",Right,34,3,16,19,0.0,"$4,050,000","$4,150,000",3 yrs,Std (Ext)
"Pettersson, Marcus",VAN,LD,Left,28,3,15,18,0.0,"$4,025,175","$4,025,175",5 yrs,Std (Ext)
"Larsson, Adam",SEA,"RD, LD",Right,32,5,14,19,0.0,"$4,000,000","$4,500,000",4 yrs,Std (Ext)
"Martinez, Alec",CHI,"LD, RD",Left,37,5,7,12,0.0,"$4,000,000","$4,000,000",1 yrs,35+ Contract
"Iafallo, Alex",WPG,LW,Left,31,10,12,22,0.0,"$4,000,000","$3,700,000",4 yrs,Std (Ext)
"Dillon, Brenden",NJD,"LD, RD",Left,34,2,11,13,0.0,"$4,000,000","$5,000,000",3 yrs,Std
"Perron, David",OTT,"LW, RW",Right,36,4,5,9,0.0,"$4,000,000","$4,000,000",2 yrs,35+ Contract
"Mercer, Dawson",NJD,"LW, RW, C",Right,23,15,13,28,0.0,"$4,000,000","$3,000,000",3 yrs,Std
"Gudbranson, Erik",CBJ,RD,Right,33,0,0,0,0.0,"$4,000,000","$3,500,000",4 yrs,Std
"McCabe, Jake",TOR,"LD, RD",Left,31,2,15,17,0.0,"$4,000,000","$5,000,000",4 yrs,Std
"Oettinger, Jake",DAL,G,Left,26,0,1,0,0.907,"$4,000,000","$4,800,000",3 yrs,Std
"Korpisalo, Joonas",BOS,G,Left,30,0,0,0,0.896,"$4,000,000","$5,000,000",5 yrs,Std
"Foligno, Marcus",MIN,"LW, RW",Left,33,11,11,22,0.0,"$4,000,000","$5,000,000",4 yrs,Std (Ext)
"Leddy, Nick",STL,LD,Left,33,1,1,2,0.0,"$4,000,000","$3,500,000",4 yrs,Std
"Niederreiter, Nino",WPG,RW,Left,32,14,16,30,0.0,"$4,000,000","$4,500,000",3 yrs,Std (Ext)
"Dobson, Noah",NYI,"RD, LD",Right,25,6,21,27,0.0,"$4,000,000","$4,000,000",3 yrs,Std
"Kane, Patrick",DET,"RW, LW",Left,36,17,28,45,0.0,"$4,000,000","$4,000,000",1 yrs,Std (Ext)
"Gudas, Radko",ANA,RD,Right,34,1,12,13,0.0,"$4,000,000","$4,000,000",3 yrs,Std
"Fabbri, Robby",ANA,"LW, RW, C",Left,29,8,8,16,0.0,"$4,000,000","$4,250,000",3 yrs,Std (Ext)
"Colton, Ross",COL,C,Left,28,15,10,25,0.0,"$4,000,000","$4,000,000",4 yrs,Std
"Hartman, Ryan",MIN,"C, RW",Right,30,8,12,20,0.0,"$4,000,000","$5,000,000",3 yrs,Std (Ext)
"Harley, Thomas",DAL,"LD, RD",Left,23,12,27,39,0.0,"$4,000,000","$3,500,000",2 yrs,Std (Ext)
"Arvidsson, Viktor",EDM,"RW, LW",Right,31,8,12,20,0.0,"$4,000,000","$4,000,000",2 yrs,Std
"Bouchard, Evan",EDM,RD,Right,25,13,40,53,0.0,"$3,900,000","$4,300,000",2 yrs,Std
"Miller, K'Andre",NYR,LD,Left,25,5,13,18,0.0,"$3,872,000","$4,646,000",2 yrs,Std
"Byram, Bowen",BUF,"LD, RD",Left,23,7,23,30,0.0,"$3,850,000","$4,620,000",2 yrs,Std
"Allen, Jake",NJD,G,Left,34,0,0,0,0.911,"$3,850,000","$3,300,000",2 yrs,Std (Ext)
"Edmundson, Joel",LAK,"LD, RD",Left,31,5,11,16,0.0,"$3,850,000","$4,500,000",4 yrs,Std
"Marchenko, Kirill",CBJ,RW,Right,24,25,37,62,0.0,"$3,850,000","$3,600,000",3 yrs,Std
"Carrier, Alexandre",MTL,RD,Right,28,1,6,7,0.0,"$3,750,000","$4,600,000",3 yrs,Std
"Jenner, Boone",CBJ,C,Left,31,0,9,9,0.0,"$3,750,000","$3,750,000",4 yrs,Std (Ext)
"Gustavsson, Filip",MIN,G,Left,26,1,1,0,0.915,"$3,750,000","$4,000,000",3 yrs,Std
"Dumba, Mathew",DAL,RD,Right,30,1,6,7,0.0,"$3,750,000","$4,000,000",2 yrs,Std
"Domi, Max",TOR,"C, RW, LW",Left,30,5,21,26,0.0,"$3,750,000","$5,000,000",4 yrs,Std (Ext)
"Pinto, Shane",OTT,C,Right,24,16,12,28,0.0,"$3,750,000","$2,500,000",2 yrs,Std
"Brodie, TJ",CHI,"RD, LD",Left,34,2,8,10,0.0,"$3,750,000","$4,275,000",2 yrs,Std
"Vatrano, Frank",ANA,"RW, LW",Left,31,20,21,41,0.0,"$3,650,000","$3,650,000",3 yrs,Std
"Goodrow, Barclay",SJS,"C, RW",Left,32,4,3,7,0.0,"$3,641,667","$5,000,000",6 yrs,Std (Ext)
"Walker, Sean",CAR,RD,Right,30,3,10,13,0.0,"$3,600,000","$5,000,000",5 yrs,Std
"Kerfoot, Alex",UTA,"C, RW",Left,30,8,10,18,0.0,"$3,500,000","$4,000,000",2 yrs,Std
"Duclair, Anthony",NYI,LW,Left,29,6,4,10,0.0,"$3,500,000","$3,500,000",4 yrs,Std
"Mantha, Anthony",CGY,RW,Left,30,4,3,7,0.0,"$3,500,000","$3,500,000",1 yrs,Std
"Tanev, Brandon",WPG,"LW, RW",Left,33,9,8,17,0.0,"$3,500,000","$3,500,000",6 yrs,Std
"Savard, David",MTL,"RD, LD",Right,34,1,11,12,0.0,"$3,500,000","$2,800,000",4 yrs,Std
"Ekman-Larsson, Oliver",TOR,"RD, LD",Left,33,4,22,26,0.0,"$3,500,000","$4,500,000",4 yrs,Std
"Mayfield, Scott",NYI,RD,Right,32,2,5,7,0.0,"$3,500,000","$3,500,000",7 yrs,Std
"Novak, Tommy",PIT,"C, LW",Left,27,13,9,22,0.0,"$3,500,000","$3,500,000",3 yrs,Std (Ext)
"Foegele, Warren",LAK,"LW, RW",Left,28,19,18,37,0.0,"$3,500,000","$4,000,000",3 yrs,Std
"Trenin, Yakov",MIN,"C, LW, RW",Left,28,6,7,13,0.0,"$3,500,000","$4,000,000",4 yrs,Std
"Tolvanen, Eeli",SEA,"LW, RW",Left,25,21,12,33,0.0,"$3,475,000","$3,475,000",2 yrs,Std
"Vilardi, Gabriel",WPG,"RW, C",Right,25,27,34,61,0.0,"$3,437,500","$3,600,000",2 yrs,Std
"Maccelli, Matias",UTA,"RW, LW",Left,24,8,10,18,0.0,"$3,425,000","$3,025,000",3 yrs,Std
"Georgiev, Alexandar",SJS,G,Left,29,0,1,0,0.874,"$3,400,000","$2,900,000",3 yrs,Std (Ext)
"Andersen, Frederik",CAR,G,Left,35,0,1,0,0.912,"$3,400,000","$3,100,000",2 yrs,Std
"Walman, Jake",EDM,"LD, RD",Left,29,6,26,32,0.0,"$3,400,000","$3,400,000",3 yrs,Std (Ext)
"Armia, Joel",MTL,"LW, RW",Right,31,11,14,25,0.0,"$3,400,000","$3,800,000",4 yrs,Std (Ext)
"Siegenthaler, Jonas",NJD,"LD, RD",Left,27,2,7,9,0.0,"$3,400,000","$4,000,000",5 yrs,Std (Ext)
"Holl, Justin",DET,RD,Right,33,1,4,5,0.0,"$3,400,000","$3,400,000",3 yrs,Std
"Vanecek, Vitek",FLA,G,Left,29,0,1,0,0.882,"$3,400,000","$2,900,000",3 yrs,Std
"Protas, Aliaksei",WSH,"LW, RW, C",Left,24,28,30,58,0.0,"$3,375,000","$4,000,000",5 yrs,Std (Ext)
"Moser, J.J.",TBL,"LD, RD",Left,24,2,9,11,0.0,"$3,375,000","$2,700,000",2 yrs,Std
"Dach, Kirby",MTL,"RW, C",Right,24,10,12,22,0.0,"$3,362,500","$2,850,000",4 yrs,Std
"Clifton, Connor",BUF,"RD, LD",Right,29,0,9,9,0.0,"$3,333,333","$3,333,333",3 yrs,Std
"Brossoit, Laurent",CHI,G,Left,31,0,0,0,0.0,"$3,300,000","$3,300,000",2 yrs,Std
"Fedotov, Ivan",PHI,G,Left,28,0,0,0,0.884,"$3,275,000","$3,275,000",2 yrs,Std (Ext)
"Lowry, Adam",WPG,C,Left,31,14,15,29,0.0,"$3,250,000","$3,500,000",5 yrs,Std (Ext)
"Soucy, Carson",NYR,"LD, RD",Left,30,3,7,10,0.0,"$3,250,000","$3,250,000",3 yrs,Std
"Ceci, Cody",DAL,"RD, LD",Right,31,4,11,15,0.0,"$3,250,000","$3,500,000",4 yrs,Std
"Perfetti, Cole",WPG,"RW, C, LW",Left,23,13,27,40,0.0,"$3,250,000","$3,000,000",2 yrs,Std
"Joshua, Dakota",VAN,"LW, RW, C",Left,28,4,3,7,0.0,"$3,250,000","$4,250,000",4 yrs,Std (Ext)
"Lyubushkin, Ilya",DAL,RD,Right,30,1,12,13,0.0,"$3,250,000","$4,000,000",2 yrs,Std
"Ferraro, Mario",SJS,LD,Left,26,5,7,12,0.0,"$3,250,000","$3,250,000",4 yrs,Std
"Faksa, Radek",STL,"C, LW, RW",Left,31,3,8,11,0.0,"$3,250,000","$2,750,000",5 yrs,Std
"Rasmussen, Michael",DET,"LW, RW, C",Left,25,10,7,17,0.0,"$3,200,000","$2,550,000",4 yrs,Std (Ext)
"Gostisbehere, Shayne",CAR,"LD, RD",Left,31,7,28,35,0.0,"$3,200,000","$4,000,000",3 yrs,Std
"Nyquist, Gustav",MIN,"RW, C",Left,35,9,12,21,0.0,"$3,185,000","$3,185,000",2 yrs,Std
"Dumoulin, Brian",NJD,LD,Left,33,2,14,16,0.0,"$3,150,000","$3,000,000",2 yrs,Std
"Haula, Erik",NJD,"C, LW",Left,33,6,8,14,0.0,"$3,150,000","$3,150,000",3 yrs,Std (Ext)
"Paul, Nicholas",TBL,"C, LW",Left,29,19,16,35,0.0,"$3,150,000","$3,250,000",7 yrs,Std (Ext)
"Montembeault, Sam",MTL,G,Left,28,0,1,0,0.9,"$3,150,000","$4,000,000",3 yrs,Std (Ext)
"Jokiharju, Henri",BOS,RD,Right,25,3,3,6,0.0,"$3,100,000","$3,100,000",1 yrs,Std
"Cole, Ian",UTA,"LD, RD",Left,36,1,13,14,0.0,"$3,100,000","$3,100,000",1 yrs,35+ Contract
"Sharangovich, Yegor",CGY,"RW, C, LW",Left,26,12,11,23,0.0,"$3,100,000","$3,100,000",2 yrs,Std (Ext)
"Martinook, Jordan",CAR,LW,Left,32,12,19,31,0.0,"$3,050,000","$3,800,000",3 yrs,Std
"Henrique, Adam",EDM,"C, RW, LW",Left,35,8,9,17,0.0,"$3,000,000","$3,000,000",2 yrs,Std
"Luostarinen, Eetu",FLA,"LW, RW, C",Left,26,8,12,20,0.0,"$3,000,000","$3,500,000",3 yrs,Std (Ext)
"Rodrigues, Evan",FLA,"RW, LW, C",Right,31,14,13,27,0.0,"$3,000,000","$3,000,000",4 yrs,Std
"Chatfield, Jalen",CAR,RD,Right,28,6,10,16,0.0,"$3,000,000","$3,750,000",3 yrs,Std (Ext)
"Skinner, Jeff",EDM,"LW, RW, C",Left,32,11,10,21,0.0,"$3,000,000","$3,000,000",1 yrs,Std
"Greenway, Jordan",BUF,"LW, RW",Left,28,3,5,8,0.0,"$3,000,000","$3,000,000",3 yrs,Std (Ext)
"Duchene, Matt",DAL,"RW, C",Left,34,25,41,66,0.0,"$3,000,000","$3,000,000",1 yrs,Std
"Roy, Nicolas",VGK,"C, RW",Right,28,9,15,24,0.0,"$3,000,000","$3,000,000",5 yrs,Std
"Maatta, Olli",UTA,"RD, LD",Left,30,0,0,0,0.0,"$3,000,000","$3,000,000",2 yrs,Std (Ext)
"Engvall, Pierre",NYI,LW,Left,28,4,4,8,0.0,"$3,000,000","$3,000,000",7 yrs,Std
"Laughton, Scott",TOR,"C, LW",Left,30,11,16,27,0.0,"$3,000,000","$3,625,000",5 yrs,Std (Ext)
"Liljegren, Timothy",SJS,RD,Right,25,0,0,0,0.0,"$3,000,000","$3,400,000",2 yrs,Std (Ext)
"van Riemsdyk, Trevor",WSH,"RD, LD",Right,33,0,16,16,0.0,"$3,000,000","$3,000,000",3 yrs,Std (Ext)
"Myers, Tyler",VAN,"RD, LD",Right,35,4,17,21,0.0,"$3,000,000","$3,800,000",3 yrs,Std (Ext)
"Joseph, Mathieu",STL,RW,Left,28,3,7,10,0.0,"$2,950,000","$3,300,000",4 yrs,Std
"Newhook, Alex",MTL,"C, LW, RW",Left,24,13,9,22,0.0,"$2,900,000","$3,300,000",4 yrs,Std
"Staal, Jordan",CAR,C,Left,36,12,21,33,0.0,"$2,900,000","$3,410,000",4 yrs,Std (Ext)
"Sissons, Colton",NSH,C,Right,31,7,14,21,0.0,"$2,857,143","$2,300,000",7 yrs,Std
"McNabb, Brayden",VGK,"RD, LD",Left,34,4,12,16,0.0,"$2,850,000","$2,200,000",3 yrs,Std (Ext)
"Roslovic, Jack",CAR,"RW, C",Right,28,21,12,33,0.0,"$2,800,000","$2,800,000",1 yrs,Std
"Peeke, Andrew",BOS,"RD, LD",Right,26,1,14,15,0.0,"$2,750,000","$2,750,000",3 yrs,Std (Ext)
"Forsberg, Anton",OTT,G,Left,32,0,0,0,0.896,"$2,750,000","$2,750,000",3 yrs,Std (Ext)
"Kulak, Brett",EDM,"LD, RD",Left,31,7,15,22,0.0,"$2,750,000","$2,500,000",4 yrs,Std
"McGinn, Brock",ANA,LW,Left,31,4,4,8,0.0,"$2,750,000","$2,750,000",4 yrs,Std
"Rutta, Jan",SJS,"RD, LD",Right,34,2,6,8,0.0,"$2,750,000","$2,500,000",3 yrs,Std
"Kunin, Luke",CBJ,"C, LW, RW",Right,27,11,7,18,0.0,"$2,750,000","$2,750,000",1 yrs,Std (Ext)
"Schenn, Luke",WPG,RD,Right,35,1,4,5,0.0,"$2,750,000","$2,750,000",3 yrs,Std
"Grzelcyk, Matt",PIT,"LD, RD",Left,31,1,30,31,0.0,"$2,750,000","$2,750,000",1 yrs,Std
"Varlamov, Semyon",NYI,G,Left,36,0,0,0,0.889,"$2,750,000","$2,750,000",4 yrs,35+ Contract
"Noesen, Stefan",NJD,RW,Right,32,19,15,34,0.0,"$2,750,000","$2,750,000",3 yrs,Std
"Whitecloud, Zach",VGK,RD,Right,28,4,7,11,0.0,"$2,750,000","$2,750,000",6 yrs,Std (Ext)
"Vejmelka, Karel",UTA,G,Right,28,0,0,0,0.908,"$2,725,000","$2,775,000",3 yrs,Std (Ext)
"Seeler, Nick",PHI,"LD, RD",Left,31,3,12,15,0.0,"$2,700,000","$2,700,000",4 yrs,Std (Ext)
"Borgen, Will",NYR,RD,Right,28,1,1,2,0.0,"$2,700,000","$2,900,000",2 yrs,Std
"Fehervary, Martin",WSH,LD,Left,25,4,14,18,0.0,"$2,675,000","$2,550,000",3 yrs,Std
"Jeannot, Tanner",LAK,"LW, C, RW",Left,27,5,4,9,0.0,"$2,665,000","$2,285,000",2 yrs,Std
"Hayton, Barrett",UTA,"C, LW",Left,24,17,21,38,0.0,"$2,650,000","$2,650,000",2 yrs,Std
"Cates, Noah",PHI,"LW, C",Left,26,14,14,28,0.0,"$2,625,000","$2,625,000",2 yrs,Std
"Amadio, Michael",OTT,"RW, C",Right,28,8,12,20,0.0,"$2,600,000","$2,500,000",3 yrs,Std
"Skinner, Stuart",EDM,G,Left,26,0,0,0,0.896,"$2,600,000","$2,500,000",3 yrs,Std (Ext)
"Nedeljkovic, Alex",PIT,G,Left,29,1,1,0,0.891,"$2,500,000","$2,500,000",2 yrs,Std (Ext)
"Romanov, Alexander",NYI,LD,Left,25,4,14,18,0.0,"$2,500,000","$2,500,000",3 yrs,Std
"Stolarz, Anthony",TOR,G,Left,31,0,1,0,0.92,"$2,500,000","$2,750,000",2 yrs,Std
"Talbot, Cam",DET,G,Left,37,0,0,0,0.901,"$2,500,000","$2,500,000",2 yrs,35+ Contract
"Cizikas, Casey",NYI,"LW, C",Left,34,5,7,12,0.0,"$2,500,000","$2,500,000",6 yrs,Std
"Glass, Cody",NJD,"RW, LW, C",Right,25,4,11,15,0.0,"$2,500,000","$2,500,000",2 yrs,Std
"Fabbro, Dante",CBJ,RD,Right,26,0,0,0,0.0,"$2,500,000","$2,500,000",1 yrs,Std (Ext)
"Drouin, Jonathan",COL,"LW, RW",Left,29,9,19,28,0.0,"$2,500,000","$2,500,000",1 yrs,Std
"Fleury, Marc-Andre",MIN,G,Left,40,0,0,0,0.904,"$2,500,000","$2,500,000",1 yrs,Std (Ext)
"Wood, Miles",COL,"LW, RW",Left,29,2,2,4,0.0,"$2,500,000","$3,250,000",6 yrs,Std
"Mikkola, Niko",FLA,"LD, RD",Left,28,5,16,21,0.0,"$2,500,000","$2,500,000",3 yrs,Std
"Kuraly, Sean",CBJ,C,Left,32,5,9,14,0.0,"$2,500,000","$2,500,000",4 yrs,Std
"Poolman, Tucker",COL,RD,Right,31,0,0,0,0.0,"$2,500,000","$3,000,000",4 yrs,Std
"Middleton, Jake",MIN,LD,Left,29,7,11,18,0.0,"$2,450,000","$2,050,000",3 yrs,Std (Ext)
"Eller, Lars",WSH,"C, LW, RW",Left,35,4,3,7,0.0,"$2,450,000","$2,450,000",2 yrs,Std
"Kampf, David",TOR,C,Left,30,4,6,10,0.0,"$2,400,000","$2,400,000",4 yrs,Std (Ext)
"Fast, Jesper",CAR,"RW, LW",Right,33,0,0,0,0.0,"$2,400,000","$2,400,000",2 yrs,Std (Ext)
"Kakko, Kaapo",SEA,RW,Left,24,4,10,14,0.0,"$2,400,000","$2,400,000",1 yrs,Std (Ext)
"Hathaway, Garnet",PHI,RW,Right,33,8,10,18,0.0,"$2,375,000","$2,050,000",2 yrs,Std
"Blackwood, Mackenzie",COL,G,Left,28,0,0,0,0.911,"$2,350,000","$2,500,000",2 yrs,Std
"Lafrenière, Alexis",NYR,LW,Left,23,14,22,36,0.0,"$2,325,000","$2,650,000",2 yrs,Std (Ext)
"Drysdale, Jamie",PHI,RD,Right,22,5,11,16,0.0,"$2,300,000","$2,300,000",3 yrs,Std
"Frederic, Trent",EDM,"RW, C",Left,27,8,7,15,0.0,"$2,300,000","$2,300,000",2 yrs,Std
"Hague, Nicolas",VGK,"LD, RD",Left,26,4,6,10,0.0,"$2,294,150","$2,700,000",3 yrs,Std
"Holloway, Dylan",STL,"LW, C",Left,23,21,27,48,0.0,"$2,290,457","$2,290,457",2 yrs,Std
"Veleno, Joe",CHI,"C, RW, LW",Left,25,5,5,10,0.0,"$2,275,000","$2,275,000",2 yrs,Std
"Sillinger, Cole",CBJ,C,Left,21,9,20,29,0.0,"$2,250,000","$2,250,000",2 yrs,Std
"Heinen, Danton",PIT,"LW, RW",Left,29,6,12,18,0.0,"$2,250,000","$2,500,000",2 yrs,Std
"Dadonov, Evgenii",DAL,RW,Left,36,16,20,36,0.0,"$2,250,000","$2,250,000",2 yrs,Std (Ext)
"Kurashev, Philipp",CHI,"RW, LW, C",Left,25,6,4,10,0.0,"$2,250,000","$2,250,000",2 yrs,Std
"Schneider, Braden",NYR,RD,Right,23,5,11,16,0.0,"$2,200,000","$1,760,000",2 yrs,Std
"Vladar, Dan",CGY,G,Left,27,0,1,0,0.893,"$2,200,000","$2,200,000",2 yrs,Std (Ext)
"Appleton, Mason",WPG,"LW, RW, C",Right,29,8,11,19,0.0,"$2,166,667","$2,250,000",3 yrs,Std
"Texier, Alexandre",STL,"LW, RW, C",Left,25,4,5,9,0.0,"$2,100,000","$2,100,000",2 yrs,Std (Ext)
"Jarnkrok, Calle",TOR,"RW, LW, C",Right,33,1,1,2,0.0,"$2,100,000","$2,100,000",4 yrs,Std
"McMichael, Connor",WSH,"C, LW",Left,24,23,28,51,0.0,"$2,100,000","$2,100,000",2 yrs,Std (Ext)
"Gaudreau, Frederick",MIN,"C, RW, LW",Right,31,15,15,30,0.0,"$2,100,000","$2,240,000",5 yrs,Std (Ext)
"Frost, Morgan",CGY,C,Left,25,11,14,25,0.0,"$2,100,000","$2,400,000",2 yrs,Std
"Bjugstad, Nick",UTA,C,Right,32,5,10,15,0.0,"$2,100,000","$2,100,000",2 yrs,Std
"McLeod, Ryan",BUF,C,Left,25,14,21,35,0.0,"$2,100,000","$2,100,000",2 yrs,Std
"Chinakhov, Yegor",CBJ,"LW, RW",Left,24,7,7,14,0.0,"$2,100,000","$2,100,000",2 yrs,Std (Ext)
"Bear, Ethan",WSH,RD,Right,27,0,0,0,0.0,"$2,062,500","$2,750,000",2 yrs,Std
"Sheary, Conor",TBL,"LW, C, RW",Left,32,0,0,0,0.0,"$2,000,000","$2,000,000",3 yrs,Std
"Gustafsson, Erik",DET,LD,Left,33,2,15,17,0.0,"$2,000,000","$2,000,000",2 yrs,Std
"Lauzon, Jeremy",NSH,"LD, RD",Left,27,0,1,1,0.0,"$2,000,000","$2,000,000",4 yrs,Std (Ext)
"Valimaki, Juuso",UTA,LD,Left,26,2,3,5,0.0,"$2,000,000","$2,000,000",2 yrs,Std (Ext)
"Stenlund, Kevin",UTA,"C, RW",Right,28,9,8,17,0.0,"$2,000,000","$2,000,000",2 yrs,Std
"Kostin, Klim",SJS,"LW, RW, C",Left,25,1,6,7,0.0,"$2,000,000","$2,200,000",2 yrs,Std (Ext)
"Johansson, Marcus",MIN,"LW, RW",Left,34,6,18,24,0.0,"$2,000,000","$2,000,000",2 yrs,Std (Ext)
"Geekie, Morgan",BOS,"C, RW, LW",Right,26,22,13,35,0.0,"$2,000,000","$2,000,000",2 yrs,Std
"Sturm, Nico",FLA,C,Left,29,7,6,13,0.0,"$2,000,000","$2,000,000",3 yrs,Std
"Acciari, Noel",PIT,C,Right,33,4,5,9,0.0,"$2,000,000","$2,000,000",3 yrs,Std
"Kochetkov, Pyotr",CAR,G,Left,25,0,3,0,0.905,"$2,000,000","$1,750,000",4 yrs,Std (Ext)
"Donato, Ryan",CHI,"RW, LW, C",Left,28,23,26,49,0.0,"$2,000,000","$2,000,000",2 yrs,Std
"Lomberg, Ryan",CGY,"LW, RW",Left,30,1,7,8,0.0,"$2,000,000","$2,000,000",2 yrs,Std
"Lafferty, Sam",BUF,"RW, LW, C",Right,30,2,3,5,0.0,"$2,000,000","$2,000,000",2 yrs,Std
"Desharnais, Vincent",SJS,RD,Right,28,0,3,3,0.0,"$2,000,000","$2,275,000",2 yrs,Std
"Namestnikov, Vladislav",WPG,"RW, C",Left,32,11,20,31,0.0,"$2,000,000","$2,000,000",2 yrs,Std
"Carrier, William",CAR,LW,Left,30,4,5,9,0.0,"$2,000,000","$2,500,000",6 yrs,Std
